plant,diseases
Tribulus terrestris,Analgesics
Tribulus terrestris,Anemia
Tribulus terrestris,Anorexia
Tribulus terrestris,Anthelmintics
Tribulus terrestris,Anti-inflammatory agents
Tribulus terrestris,Antipruritics
Tribulus terrestris,Aphrodisiacs
Tribulus terrestris,Appetite stimulants
Tribulus terrestris,Asthma
Tribulus terrestris,Calculi
Tribulus terrestris,Cystitis
Tribulus terrestris,Demulcents
Tribulus terrestris,Diuretics
Tribulus terrestris,Dyspepsia
Tribulus terrestris,Disorder of ejaculation
Tribulus terrestris,Emollients
Tribulus terrestris,Endophthalmitis
Tribulus terrestris,Erectile dysfunction
Tribulus terrestris,Expectorants
Tribulus terrestris,Fatigue
Tribulus terrestris,Gonorrhea
Tribulus terrestris,Gout
Tribulus terrestris,Heart diseases
Tribulus terrestris,Helminthiasis
Tribulus terrestris,Hemoptysis
Tribulus terrestris,"Hypophosphatemia, familial"
Tribulus terrestris,Inflammation
Tribulus terrestris,Kidney calculi
Tribulus terrestris,Kidney diseases
Tribulus terrestris,Narcotics
Tribulus terrestris,Parasympatholytics
Tribulus terrestris,Postnatal care
Tribulus terrestris,General tonic for rejuvenation
Tribulus terrestris,Scabies
Tribulus terrestris,Urinary bladder diseases
Tribulus terrestris,Urinary tract infections
Tribulus terrestris,Urination disorders
Tribulus terrestris,Urolithiasis
Tribulus terrestris,Cooling effect on body
Tribulus terrestris,Leprosy
Tribulus terrestris,Menorrhagia
Tribulus terrestris,Skin diseases
Tribulus terrestris,Urinary calculi
Tribulus terrestris,Dental caries
Tribulus terrestris,Laxatives
Tribulus terrestris,Menstruation-inducing agents
Tribulus terrestris,Urinary bladder calculi
Tribulus terrestris,Epistaxis
Tribulus terrestris,"Gingivitis, necrotizing ulcerative"
Tribulus terrestris,Hemorrhage
Tribulus terrestris,Jaundice
Tribulus terrestris,Skin care
Tribulus terrestris,Stomatitis
Tribulus terrestris,Astringents
Tribulus terrestris,Hair loss
Tribulus terrestris,Anti-bacterial agents
Tribulus terrestris,Antineoplastic agents
Tribulus terrestris,Antirheumatic agents
Tribulus terrestris,Cardiotonic agents
Tribulus terrestris,Colic
Tribulus terrestris,Cough
Tribulus terrestris,Diabetes mellitus
Tribulus terrestris,Dysuria
Tribulus terrestris,Edema
Tribulus terrestris,Facial paralysis
Tribulus terrestris,Fever
Tribulus terrestris,Gastrointestinal diseases
Tribulus terrestris,Hemorrhoids
Tribulus terrestris,Hernia
Tribulus terrestris,Hypolipidemic agents
Tribulus terrestris,Immunomodulation
Tribulus terrestris,Insecticides
Tribulus terrestris,Liver diseases
Tribulus terrestris,Metabolism
Tribulus terrestris,Paralysis
Tribulus terrestris,Urticaria
Tribulus terrestris,Vaginal diseases
Tribulus terrestris,Rheumatoid arthritis
Tribulus terrestris,Leukorrhea
