plant,molecules
Stereospermum chelonoides,Dehydrotectol
Stereospermum chelonoides,Scutellarein 6-glucoside
Stereospermum chelonoides,6-Hydroxyluteolin 7-glucuronide
Stereospermum chelonoides,Dehydro-alpha-lapachone
Stereospermum chelonoides,Diosmetin 7-glucuronide
Stereospermum chelonoides,1-Hexacosanol
Stereospermum chelonoides,6-Glucosyl-luteolin
Stereospermum chelonoides,Scutellarein
Stereospermum chelonoides,Lapachol
Stereospermum chelonoides,Stearic acid
Stereospermum chelonoides,1-Triacontanol
Stereospermum chelonoides,Palmitic acid
Stereospermum chelonoides,Oleic acid
Stereospermum chelonoides,beta-Sitosterol
Stereospermum chelonoides,Ouabain
